Horizontal Position [m],Intensity [ph/s/.1%bw/mm²]
-1.031714394e-3,5.699604375e+5
-1.029871834e-3,1.052583125e+6
-1.028029274e-3,7.813763750e+5
-1.026186714e-3,9.352881250e+5
-1.024344155e-3,4.369120313e+5
-1.022501595e-3,1.546088750e+6
-1.020659035e-3,7.229689844e+4
-1.018816475e-3,2.775448000e+6
-1.016973915e-3,4.592100000e+5
-1.015131355e-3,2.617733250e+6
-1.013288796e-3,2.533347000e+6
-1.011446236e-3,9.737616875e+5
-1.009603676e-3,4.666939000e+6
-1.007761116e-3,4.228743000e+6
-1.005918556e-3,2.212599000e+6
-1.004075996e-3,1.125703800e+7
-1.002233437e-3,6.716790000e+6
-1.000390877e-3,7.258248500e+6
-9.985483168e-4,1.776179800e+7
-9.967057570e-4,2.408292400e+7
-9.948631971e-4,1.678428800e+7
-9.930206373e-4,3.553492000e+7
-9.911780774e-4,6.390205200e+7
-9.893355176e-4,6.607876800e+7
-9.874929578e-4,7.837642400e+7
-9.856503979e-4,1.201391040e+8
-9.838078381e-4,2.039277280e+8
-9.819652782e-4,2.363716320e+8
-9.801227184e-4,2.486366240e+8
-9.782801585e-4,3.205604800e+8
-9.764375987e-4,4.067181120e+8
-9.745950388e-4,4.841088960e+8
-9.727524790e-4,4.312568320e+8
-9.709099192e-4,3.181158080e+8
-9.690673593e-4,2.684321920e+8
-9.672247995e-4,2.333485600e+8
-9.653822396e-4,2.359731840e+8
-9.635396798e-4,2.178973120e+8
-9.616971199e-4,2.571194400e+8
-9.598545601e-4,3.739197760e+8
-9.580120002e-4,3.999124480e+8
-9.561694404e-4,3.500845120e+8
-9.543268806e-4,2.146060320e+8
-9.524843207e-4,1.797347360e+8
-9.506417609e-4,3.135520960e+8
-9.487992010e-4,4.142250560e+8
-9.469566412e-4,4.295720960e+8
-9.451140813e-4,2.632405760e+8
-9.432715215e-4,1.586835040e+8
-9.414289616e-4,2.593162080e+8
-9.395864018e-4,4.061451840e+8
-9.377438420e-4,5.091509440e+8
-9.359012821e-4,3.466654400e+8
-9.340587223e-4,1.591571520e+8
-9.322161624e-4,1.773823680e+8
-9.303736026e-4,3.500341120e+8
-9.285310427e-4,5.914186880e+8
-9.266884829e-4,5.085573760e+8
-9.248459230e-4,2.592328480e+8
-9.230033632e-4,1.113747600e+8
-9.211608034e-4,1.889507360e+8
-9.193182435e-4,5.467252480e+8
-9.174756837e-4,6.886330880e+8
-9.156331238e-4,5.844098560e+8
-9.137905640e-4,2.909386240e+8
-9.119480041e-4,3.135335800e+7
-9.101054443e-4,2.302502720e+8
-9.082628844e-4,6.286738560e+8
-9.064203246e-4,1.045590400e+9
-9.045777648e-4,9.765401600e+8
-9.027352049e-4,3.786240960e+8
-9.008926451e-4,1.564153300e+7
-8.990500852e-4,1.871211680e+8
-8.972075254e-4,1.003741632e+9
-8.953649655e-4,1.595037440e+9
-8.935224057e-4,1.376525824e+9
-8.916798458e-4,7.982801280e+8
-8.898372860e-4,1.474114720e+8
-8.879947262e-4,1.618384480e+8
-8.861521663e-4,7.277850240e+8
-8.843096065e-4,1.551395584e+9
-8.824670466e-4,2.145313920e+9
-8.806244868e-4,1.531848320e+9
-8.787819269e-4,5.675379840e+8
-8.769393671e-4,1.181431920e+8
-8.750968072e-4,5.870519680e+8
-8.732542474e-4,1.465214208e+9
-8.714116876e-4,1.620445312e+9
-8.695691277e-4,1.579720960e+9
-8.677265679e-4,9.981272320e+8
-8.658840080e-4,1.322536560e+8
-8.640414482e-4,1.033551920e+8
-8.621988883e-4,7.574737920e+8
-8.603563285e-4,1.633583360e+9
-8.585137686e-4,1.262359168e+9
-8.566712088e-4,4.823818560e+8
-8.548286490e-4,1.914853600e+8
-8.529860891e-4,1.349629600e+8
-8.511435293e-4,1.305854336e+9
-8.493009694e-4,1.848720000e+9
-8.474584096e-4,1.707385984e+9
-8.456158497e-4,1.512476544e+9
-8.437732899e-4,4.783524160e+8
-8.419307300e-4,4.233710000e+7
-8.400881702e-4,5.007473920e+8
-8.382456104e-4,1.832733312e+9
-8.364030505e-4,1.508773376e+9
-8.345604907e-4,8.904241920e+8
-8.327179308e-4,1.136686464e+9
-8.308753710e-4,2.917420480e+8
-8.290328111e-4,1.271164672e+9
-8.271902513e-4,7.882606720e+8
-8.253476914e-4,1.793944832e+9
-8.235051316e-4,4.405819392e+9
-8.216625718e-4,1.122697216e+9
-8.198200119e-4,1.817642240e+8
-8.179774521e-4,3.241716800e+8
-8.161348922e-4,2.499028224e+9
-8.142923324e-4,3.279901696e+9
-8.124497725e-4,1.501909120e+8
-8.106072127e-4,2.625541632e+9
-8.087646528e-4,1.686290944e+9
-8.069220930e-4,1.549044352e+9
-8.050795332e-4,1.181191600e+8
-8.032369733e-4,3.892173824e+9
-8.013944135e-4,5.517129216e+9
-7.995518536e-4,2.635881400e+7
-7.977092938e-4,3.311430912e+9
-7.958667339e-4,1.987978496e+9
-7.940241741e-4,4.358254592e+9
-7.921816142e-4,1.262340080e+8
-7.903390544e-4,1.067803238e+10
-7.884964946e-4,6.855834112e+9
-7.866539347e-4,2.896701696e+9
-7.848113749e-4,8.674020352e+9
-7.829688150e-4,9.516748800e+9
-7.811262552e-4,7.355933184e+9
-7.792836953e-4,7.381789184e+9
-7.774411355e-4,2.006457754e+10
-7.755985756e-4,4.481014784e+9
-7.737560158e-4,1.581377434e+10
-7.719134560e-4,1.993740698e+10
-7.700708961e-4,2.170518938e+10
-7.682283363e-4,3.147345715e+10
-7.663857764e-4,7.108165632e+10
-7.645432166e-4,5.587934822e+10
-7.627006567e-4,1.059612426e+11
-7.608580969e-4,1.429665055e+11
-7.590155370e-4,1.570997862e+11
-7.571729772e-4,2.009157304e+11
-7.553304174e-4,3.025707991e+11
-7.534878575e-4,2.990858240e+11
-7.516452977e-4,4.345373655e+11
-7.498027378e-4,5.636742185e+11
-7.479601780e-4,6.254534984e+11
-7.461176181e-4,7.681279918e+11
-7.442750583e-4,9.395301908e+11
-7.424324984e-4,8.930878423e+11
-7.405899386e-4,9.743766651e+11
-7.387473788e-4,1.048517214e+12
-7.369048189e-4,9.921352827e+11
-7.350622591e-4,1.005161939e+12
-7.332196992e-4,1.211762868e+12
-7.313771394e-4,1.261247660e+12
-7.295345795e-4,1.346141553e+12
-7.276920197e-4,1.581293240e+12
-7.258494598e-4,1.688053613e+12
-7.240069000e-4,1.620619690e+12
-7.221643402e-4,1.808913400e+12
-7.203217803e-4,2.017774797e+12
-7.184792205e-4,2.121483551e+12
-7.166366606e-4,2.344245002e+12
-7.147941008e-4,2.710491365e+12
-7.129515409e-4,2.708379533e+12
-7.111089811e-4,2.620619489e+12
-7.092664212e-4,2.806979756e+12
-7.074238614e-4,3.051677811e+12
-7.055813016e-4,2.962681758e+12
-7.037387417e-4,2.881750041e+12
-7.018961819e-4,2.915936502e+12
-7.000536220e-4,2.841462702e+12
-6.982110622e-4,2.638857372e+12
-6.963685023e-4,2.598771622e+12
-6.945259425e-4,2.540630180e+12
-6.926833826e-4,2.281322578e+12
-6.908408228e-4,2.037255373e+12
-6.889982630e-4,1.999788311e+12
-6.871557031e-4,1.891214426e+12
-6.853131433e-4,1.601018528e+12
-6.834705834e-4,1.392026845e+12
-6.816280236e-4,1.350053659e+12
-6.797854637e-4,1.232047047e+12
-6.779429039e-4,1.001912730e+12
-6.761003440e-4,8.450626683e+11
-6.742577842e-4,7.909160387e+11
-6.724152244e-4,7.102267392e+11
-6.705726645e-4,5.691906458e+11
-6.687301047e-4,4.366239007e+11
-6.668875448e-4,3.876678205e+11
-6.650449850e-4,3.716331274e+11
-6.632024251e-4,2.764475269e+11
-6.613598653e-4,1.700575150e+11
-6.595173054e-4,1.542436618e+11
-6.576747456e-4,1.549220086e+11
-6.558321858e-4,9.596103885e+10
-6.539896259e-4,4.660839219e+10
-6.521470661e-4,3.305391514e+10
-6.503045062e-4,3.202851430e+10
-6.484619464e-4,2.028998656e+10
-6.466193865e-4,2.532285440e+9
-6.447768267e-4,1.989002880e+9
-6.429342668e-4,5.067387904e+9
-6.410917070e-4,2.201768960e+9
-6.392491472e-4,7.941852160e+9
-6.374065873e-4,3.100641894e+10
-6.355640275e-4,4.718066074e+10
-6.337214676e-4,3.896022630e+10
-6.318789078e-4,4.128659456e+10
-6.300363479e-4,7.628293734e+10
-6.281937881e-4,1.217514209e+11
-6.263512282e-4,1.345903821e+11
-6.245086684e-4,1.143315251e+11
-6.226661086e-4,1.263339684e+11
-6.208235487e-4,1.802448568e+11
-6.189809889e-4,2.454450831e+11
-6.171384290e-4,2.475253432e+11
-6.152958692e-4,2.216709816e+11
-6.134533093e-4,2.216393441e+11
-6.116107495e-4,2.900044677e+11
-6.097681896e-4,3.634437161e+11
-6.079256298e-4,3.808040059e+11
-6.060830700e-4,3.394060616e+11
-6.042405101e-4,3.184927703e+11
-6.023979503e-4,3.680304497e+11
-6.005553904e-4,4.587762811e+11
-5.987128306e-4,5.088015811e+11
-5.968702707e-4,4.818297815e+11
-5.950277109e-4,4.257077985e+11
-5.931851510e-4,4.228367647e+11
-5.913425912e-4,4.944265544e+11
-5.895000313e-4,5.829693276e+11
-5.876574715e-4,6.100623688e+11
-5.858149117e-4,5.623888609e+11
-5.839723518e-4,4.972866765e+11
-5.821297920e-4,4.911185920e+11
-5.802872321e-4,5.589240381e+11
