Horizontal Position [m],Intensity [ph/s/.1%bw/mm²]
-2.031520853e-4,5.783308000e+7
-1.967028128e-4,5.272112320e+8
-1.902535402e-4,1.508021504e+9
-1.838042677e-4,3.085597440e+9
-1.773549951e-4,5.407056896e+9
-1.709057226e-4,8.692049920e+9
-1.644564500e-4,1.327295283e+10
-1.580071775e-4,1.964776653e+10
-1.515579049e-4,2.854985728e+10
-1.451086324e-4,4.109554483e+10
-1.386593598e-4,5.900368282e+10
-1.322100873e-4,8.498398822e+10
-1.257608147e-4,1.233958666e+11
-1.193115422e-4,1.815108321e+11
-1.128622696e-4,2.717829693e+11
-1.064129971e-4,4.164697784e+11
-9.996372453e-5,6.571045028e+11
-9.351445198e-5,1.075492094e+12
-8.706517943e-5,1.843231195e+12
-8.061590688e-5,3.348458373e+12
-7.416663433e-5,6.551836295e+12
-6.771736178e-5,1.409643813e+13
-6.126808923e-5,3.415915417e+13
-5.481881668e-5,9.512872732e+13
-4.836954413e-5,3.040874091e+14
-4.192027158e-5,1.064655418e+15
-3.547099903e-5,3.657524356e+15
-2.902172648e-5,1.027272747e+16
-2.257245393e-5,1.777655825e+16
-1.612318138e-5,1.579154678e+16
-9.673908826e-6,5.910216879e+16
-3.224636275e-6,1.820950341e+17
3.224636275e-6,1.820950685e+17
9.673908826e-6,5.910216879e+16
1.612318138e-5,1.579154678e+16
2.257245393e-5,1.777655503e+16
2.902172648e-5,1.027272855e+16
3.547099903e-5,3.657524893e+15
4.192027158e-5,1.064655821e+15
4.836954413e-5,3.040875769e+14
5.481881668e-5,9.512858472e+13
6.126808923e-5,3.415916465e+13
6.771736178e-5,1.409639724e+13
7.416663433e-5,6.551824237e+12
8.061590688e-5,3.348475150e+12
8.706517943e-5,1.843229622e+12
9.351445198e-5,1.075496026e+12
9.996372453e-5,6.570848420e+11
1.064129971e-4,4.164641423e+11
1.128622696e-4,2.717778084e+11
1.193115422e-4,1.815079977e+11
1.257608147e-4,1.233970872e+11
1.322100873e-4,8.497473946e+10
1.386593598e-4,5.900170854e+10
1.451086324e-4,4.109235814e+10
1.515579049e-4,2.854743859e+10
1.580071775e-4,1.964863898e+10
1.644564500e-4,1.327287091e+10
1.709057226e-4,8.693573632e+9
1.773549951e-4,5.405604352e+9
1.838042677e-4,3.087026432e+9
1.902535402e-4,1.507916032e+9
1.967028128e-4,5.277606720e+8
2.031520853e-4,5.785846800e+7
